mono,model,id,mono_error
1.7480737,1.8704643,dsgdb9nsd_008981,0.022663597
1.5779214,1.354932,dsgdb9nsd_055387,0.019189434
2.1237414,2.4415987,dsgdb9nsd_026153,0.018288726
1.9900094,1.5097259,dsgdb9nsd_070715,0.018288726
1.7296523,0.826166,dsgdb9nsd_103851,0.014960023
2.0007715,1.4034654,dsgdb9nsd_011270,0.021351136
2.5196526,2.2371593,dsgdb9nsd_029570,0.01748283
1.9973397,1.6353587,dsgdb9nsd_114910,0.016101293
2.084056,1.2102334,dsgdb9nsd_013604,0.018288726
1.5943642,0.95692265,dsgdb9nsd_095683,0.014960023
2.0464454,1.2392293,dsgdb9nsd_114237,0.014960023
2.259337,1.6084725,dsgdb9nsd_085644,0.018288726
1.2672046,0.81003904,dsgdb9nsd_002464,0.01748283
1.4830457,0.96295524,dsgdb9nsd_079450,0.01748283
2.2860594,1.4799465,dsgdb9nsd_022175,0.016757524
1.3868076,1.3869392,dsgdb9nsd_044742,0.020202732
2.386405,1.9725083,dsgdb9nsd_125542,0.028174967
1.7836051,1.1585897,dsgdb9nsd_085676,0.021702839
2.4089503,1.986099,dsgdb9nsd_023967,0.031187959
2.780346,2.0853193,dsgdb9nsd_112130,0.021702839
1.8540381,1.5577598,dsgdb9nsd_105569,0.0297733
2.1401584,1.1125726,dsgdb9nsd_067696,0.0297733
2.8225994,2.2938166,dsgdb9nsd_024522,0.03175265
2.2325876,1.6143256,dsgdb9nsd_009710,0.028174967
1.6574117,1.1224836,dsgdb9nsd_007423,0.02515464
2.286762,1.3412167,dsgdb9nsd_106655,0.02657597
1.8550043,1.5250647,dsgdb9nsd_044304,0.0297733
2.143818,1.5752422,dsgdb9nsd_015544,0.0297733
2.749776,1.5904373,dsgdb9nsd_021829,0.031449467
1.57748,1.0603213,dsgdb9nsd_091284,0.02515464
1.4474084,1.1864436,dsgdb9nsd_003512,0.023882924
1.9759613,1.3332934,dsgdb9nsd_082102,0.02273838
1.779104,1.1542832,dsgdb9nsd_072512,0.017096194
1.649699,1.0435367,dsgdb9nsd_009587,0.018843994
2.6874037,1.9591546,dsgdb9nsd_030256,0.01807294
2.8803623,2.010558,dsgdb9nsd_079640,0.017723057
2.673621,1.4002849,dsgdb9nsd_005399,0.019312521
1.7783294,1.0096408,dsgdb9nsd_067966,0.01807294
1.5763018,1.2186984,dsgdb9nsd_029242,0.019839216
2.4679465,1.630397,dsgdb9nsd_005040,0.019839216
1.9087877,1.3896904,dsgdb9nsd_054980,0.017723057
2.0758538,1.5612353,dsgdb9nsd_090795,0.01807294
2.7574756,1.7251142,dsgdb9nsd_052001,0.018843994
1.8819327,1.1038208,dsgdb9nsd_042659,0.017096194
2.2849753,1.3668541,dsgdb9nsd_094154,0.020978956
2.7705212,1.4054826,dsgdb9nsd_076351,0.01807294
1.5956724,1.2687907,dsgdb9nsd_000374,0.019839216
1.8258656,1.4943459,dsgdb9nsd_113290,0.019312521
2.2789202,2.272264,dsgdb9nsd_030751,0.029624708
2.3754518,1.7305639,dsgdb9nsd_082011,0.03183598
2.0626142,1.4836235,dsgdb9nsd_035273,0.025350606
1.8447912,1.505816,dsgdb9nsd_105009,0.025350606
1.6227052,1.262434,dsgdb9nsd_058540,0.026625339
2.2867808,1.354485,dsgdb9nsd_089092,0.028041707
1.8442941,1.2042134,dsgdb9nsd_113555,0.024197275
1.896747,1.0868738,dsgdb9nsd_099178,0.026625339
2.3485577,1.405145,dsgdb9nsd_045838,0.032637566
2.049544,1.2915522,dsgdb9nsd_078566,0.028041707
1.6478647,1.0381604,dsgdb9nsd_117899,0.025350606
1.6542073,1.2588795,dsgdb9nsd_013128,0.030784016
1.8680935,1.2328644,dsgdb9nsd_054191,0.028041707
2.6346686,1.5180281,dsgdb9nsd_119520,0.029624708
2.1861537,1.5010655,dsgdb9nsd_106203,0.028041707
1.9206327,1.2093294,dsgdb9nsd_117254,0.025350606
2.1470819,1.4266348,dsgdb9nsd_012810,0.017483843
1.9216434,1.2304761,dsgdb9nsd_046963,0.01573674
1.9820105,1.2997373,dsgdb9nsd_115098,0.014339059
1.8416448,1.3803655,dsgdb9nsd_065212,0.014339059
2.593023,1.5106626,dsgdb9nsd_032540,0.01573674
1.959894,1.4866349,dsgdb9nsd_016376,0.016558906
2.329273,1.765374,dsgdb9nsd_034575,0.017483843
2.0233777,1.6969864,dsgdb9nsd_062272,0.01573674
2.1532247,1.4947548,dsgdb9nsd_093940,0.015001118
1.6794292,1.2496363,dsgdb9nsd_009524,0.016558906
2.005647,1.1129626,dsgdb9nsd_081772,0.013740052
1.7168795,1.1881851,dsgdb9nsd_115163,0.015001118
1.8505993,1.2196527,dsgdb9nsd_065150,0.01573674
2.6822188,1.7178363,dsgdb9nsd_020975,0.016558906
1.5285891,0.9991688,dsgdb9nsd_108141,0.015001118
2.013059,2.0397346,dsgdb9nsd_052467,0.020700354
1.878897,1.2354199,dsgdb9nsd_044493,0.011123545
2.2744257,1.4656534,dsgdb9nsd_055607,0.012527794
2.2741883,1.2112778,dsgdb9nsd_085743,0.011123545
1.4113265,0.84871924,dsgdb9nsd_100021,0.008958612
2.193791,1.5887482,dsgdb9nsd_019917,0.0115449065
1.5447184,1.3983442,dsgdb9nsd_011682,0.014724344
2.061837,1.2985783,dsgdb9nsd_056177,0.010599403
1.6281447,1.5812614,dsgdb9nsd_023968,0.012999561
1.857647,1.1554899,dsgdb9nsd_012930,0.011123545
2.0605834,1.6079328,dsgdb9nsd_030567,0.011998441
1.8507471,1.1660241,dsgdb9nsd_071920,0.0115449065
2.072126,1.4031895,dsgdb9nsd_078397,0.010127676
2.115191,1.5521133,dsgdb9nsd_065631,0.0115449065
1.8967288,1.0955752,dsgdb9nsd_011130,0.0115449065
2.0098464,1.5797831,dsgdb9nsd_032811,0.011123545
1.474372,0.9939886,dsgdb9nsd_006969,0.010127676
2.0087068,1.3702449,dsgdb9nsd_112248,0.027359266
1.9771947,1.480647,dsgdb9nsd_005541,0.025792204
1.6646792,1.2615703,dsgdb9nsd_041171,0.02315295
2.0790887,1.6820477,dsgdb9nsd_067299,0.024399264
2.7754362,1.5044491,dsgdb9nsd_023036,0.025792204
1.4273305,0.8780224,dsgdb9nsd_070609,0.019251442
1.4012177,0.9578998,dsgdb9nsd_063325,0.02315295
1.9443626,1.4301257,dsgdb9nsd_046585,0.025792204
2.1409192,1.1843666,dsgdb9nsd_055287,0.024399264
2.5771008,1.8250417,dsgdb9nsd_026053,0.027975554
