mono,model,id,mono_error
1.2278821,1.1393871,dsgdb9nsd_132354,0.045794703
2.726772,3.0294616,dsgdb9nsd_131306,0.045794703
2.3196166,1.7937012,dsgdb9nsd_128954,0.047156934
1.956752,1.4924204,dsgdb9nsd_132972,0.047156934
3.75527,2.0871785,dsgdb9nsd_127787,0.04056028
2.4922888,2.4323843,dsgdb9nsd_133519,0.054849453
2.5649335,1.7556059,dsgdb9nsd_130176,0.04056028
2.6919718,1.8643726,dsgdb9nsd_129962,0.047156934
2.095784,1.6468332,dsgdb9nsd_127139,0.03837927
2.7550993,2.1472611,dsgdb9nsd_128314,0.045794703
3.3090246,1.8264543,dsgdb9nsd_129133,0.054849453
2.8987465,1.6643043,dsgdb9nsd_128001,0.047156934
2.4006689,1.5990826,dsgdb9nsd_127674,0.04301392
2.5679233,1.6472976,dsgdb9nsd_133035,0.04301392
2.1784377,1.7598263,dsgdb9nsd_131989,0.051499777
3.1093,1.7063841,dsgdb9nsd_131177,0.045794703
1.257228,1.6322328,dsgdb9nsd_133722,0.04301392
2.9042683,1.4656507,dsgdb9nsd_131509,0.04301392
2.3726337,2.2670805,dsgdb9nsd_133418,0.054849453
2.7869325,2.0526433,dsgdb9nsd_129660,0.047156934
1.9800814,1.7004787,dsgdb9nsd_132166,0.04957655
1.3323317,1.5056951,dsgdb9nsd_132131,0.054849453
2.8235004,1.3501163,dsgdb9nsd_131743,0.04301392
2.3853238,1.9310865,dsgdb9nsd_128523,0.04301392
1.6385069,1.6290822,dsgdb9nsd_132905,0.047156934
3.4650505,2.546015,dsgdb9nsd_130490,0.051499777
2.5137365,1.7162662,dsgdb9nsd_129453,0.051499777
2.7883184,5.3322573,dsgdb9nsd_130338,0.047156934
2.6020346,1.8151059,dsgdb9nsd_129549,0.045794703
2.576074,2.022265,dsgdb9nsd_127404,0.03837927
2.1773336,1.9596596,dsgdb9nsd_133169,0.045794703
2.903022,1.9862163,dsgdb9nsd_131870,0.04301392
2.7559516,6.776139,dsgdb9nsd_130383,0.047156934
2.5192134,1.6754109,dsgdb9nsd_128172,0.045794703
2.7193599,1.7541027,dsgdb9nsd_131268,0.045794703
2.3830552,1.6400487,dsgdb9nsd_126905,0.03837927
3.2816906,1.9090562,dsgdb9nsd_127755,0.04957655
2.6171732,1.6299707,dsgdb9nsd_133201,0.045794703
2.5617943,2.058311,dsgdb9nsd_128675,0.045794703
2.8539631,1.8187805,dsgdb9nsd_127258,0.03837927
2.2779014,1.6874238,dsgdb9nsd_131302,0.047156934
1.9405907,1.4715618,dsgdb9nsd_132810,0.04957655
3.1570218,2.6816514,dsgdb9nsd_131039,0.051499777
1.8203173,1.3508898,dsgdb9nsd_133090,0.04957655
3.6286626,1.9378417,dsgdb9nsd_131783,0.04301392
3.912529,1.9329071,dsgdb9nsd_129322,0.051499777
3.0982628,1.7747324,dsgdb9nsd_127946,0.045794703
2.367166,1.3459005,dsgdb9nsd_127462,0.03837927
1.4386561,0.99880105,dsgdb9nsd_133575,0.04301392
