# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.727866127133553364e-01 -2.336482659954705454e+01 1.537153674871619913e+00
-7.000000000000000666e-02 8.827866127133553453e-01 -2.337018458755634498e+01 1.010657606148919863e+00
-5.999999999999999778e-02 8.927866127133552432e-01 -2.337270218996608051e+01 5.236191574243131974e-01
-5.000000000000000278e-02 9.027866127133552521e-01 -2.337287597145560625e+01 1.227306124069937332e-01
-4.000000000000000083e-02 9.127866127133553720e-01 -2.337099474895742901e+01 -2.642352191488702151e-01
-2.999999999999999889e-02 9.227866127133553809e-01 -2.336709490129367595e+01 -6.513827092930423168e-01
-2.000000000000000042e-02 9.327866127133555008e-01 -2.336125434883296847e+01 -1.013455891735072001e+00
-1.000000000000000021e-02 9.427866127133553986e-01 -2.335366797334201650e+01 -1.333133517563811932e+00
0.000000000000000000e+00 9.527866127133554075e-01 -2.334457121768389598e+01 -1.608529750245163203e+00
1.000000000000000021e-02 9.627866127133553054e-01 -2.333418915055014153e+01 -1.844172544264407909e+00
2.000000000000000042e-02 9.727866127133553142e-01 -2.332271919033647123e+01 -2.045515728834305325e+00
2.999999999999999889e-02 9.827866127133552121e-01 -2.331032740117395718e+01 -2.217566588260646565e+00
4.000000000000000083e-02 9.927866127133555540e-01 -2.329715877251836531e+01 -2.364878044148903680e+00
5.000000000000000278e-02 1.002786612713355341e+00 -2.328333219573604751e+01 -2.491703922576107733e+00
5.999999999999999778e-02 1.012786612713355350e+00 -2.326894633506760357e+01 -2.602045296835198140e+00
7.000000000000000666e-02 1.022786612713355359e+00 -2.325407852268496711e+01 -2.699758921792975830e+00
8.000000000000000167e-02 1.032786612713355368e+00 -2.323878722019978937e+01 -2.789448727712784404e+00
