# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.727866127133550034e-01 -2.337694764137268066e+01 1.555103132955360845e+00
-7.000000000000000666e-02 8.827866127133556784e-01 -2.338234901428222656e+01 9.959961371495442695e-01
-5.999999999999999778e-02 8.927866127133555763e-01 -2.338481903076171875e+01 5.023405804688497733e-01
-5.000000000000000278e-02 9.027866127133554741e-01 -2.338493776321411133e+01 1.030795282613777702e-01
-4.000000000000000083e-02 9.127866127133553720e-01 -2.338301467895507812e+01 -2.808087740715597413e-01
-2.999999999999999889e-02 9.227866127133553809e-01 -2.337908911705017090e+01 -6.649444222652380887e-01
-2.000000000000000042e-02 9.327866127133555008e-01 -2.337323760986328125e+01 -1.024315914191047838e+00
-1.000000000000000021e-02 9.427866127133553986e-01 -2.336565279960632324e+01 -1.341432530501584619e+00
0.000000000000000000e+00 9.527866127133554075e-01 -2.335657072067260742e+01 -1.614262401543353320e+00
1.000000000000000021e-02 9.627866127133553054e-01 -2.334621620177541246e+01 -1.847322487765155508e+00
2.000000000000000042e-02 9.727866127133553142e-01 -2.333478617662697374e+01 -2.046133344024514411e+00
2.999999999999999889e-02 9.827866127133552121e-01 -2.332244729977305653e+01 -2.215792860595705349e+00
4.000000000000000083e-02 9.927866127133552210e-01 -2.330934262231998133e+01 -2.360946445991713993e+00
5.000000000000000278e-02 1.002786612713355119e+00 -2.329559016142313155e+01 -2.485936131217425071e+00
5.999999999999999778e-02 1.012786612713355128e+00 -2.328128623814707154e+01 -2.594853258556052644e+00
7.000000000000000666e-02 1.022786612713354915e+00 -2.326650690797700705e+01 -2.691659923398852516e+00
8.000000000000000167e-02 1.032786612713355590e+00 -2.325130653030731054e+01 -2.781124805986057602e+00
