# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.727866127133553364e-01 -2.336980774001153094e+01 1.550573345534047132e+00
-7.000000000000000666e-02 8.827866127133553453e-01 -2.337517263840695847e+01 9.914184705425896915e-01
-5.999999999999999778e-02 8.927866127133552432e-01 -2.337760570119221271e+01 4.977149573596726939e-01
-5.000000000000000278e-02 9.027866127133552521e-01 -2.337768700000717459e+01 9.840587335394414270e-02
-4.000000000000000083e-02 9.127866127133553720e-01 -2.337572600142473433e+01 -2.855305340354385435e-01
-2.999999999999999889e-02 9.227866127133553809e-01 -2.337176204378811661e+01 -6.697143584886445788e-01
-2.000000000000000042e-02 9.327866127133555008e-01 -2.336587165875953787e+01 -1.029134095804916438e+00
-1.000000000000000021e-02 9.427866127133553986e-01 -2.335824748787002392e+01 -1.346299024547698897e+00
0.000000000000000000e+00 9.527866127133554075e-01 -2.334912556485299007e+01 -1.619177272957488034e+00
1.000000000000000021e-02 9.627866127133553054e-01 -2.333873071783164832e+01 -1.852285809666637473e+00
2.000000000000000042e-02 9.727866127133553142e-01 -2.332725988014501439e+01 -2.051145018475174275e+00
2.999999999999999889e-02 9.827866127133552121e-01 -2.331487970603801685e+01 -2.220853068134621910e+00
4.000000000000000083e-02 9.927866127133555540e-01 -2.330173324634028020e+01 -2.366055476152847170e+00
5.000000000000000278e-02 1.002786612713355341e+00 -2.328793851795505887e+01 -2.491093831881508347e+00
5.999999999999999778e-02 1.012786612713355350e+00 -2.327359184171880102e+01 -2.600059522668394241e+00
7.000000000000000666e-02 1.022786612713355359e+00 -2.325876927291313834e+01 -2.696915009679294872e+00
8.000000000000000167e-02 1.032786612713355368e+00 -2.324352517075677582e+01 -2.786428769076692902e+00
