# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 8.264505940313384702e-01 -2.313964341608344810e+01 3.654780696394512773e+01
-7.000000000000000666e-02 8.364505940313384791e-01 -2.330267907489744772e+01 2.371667278358776798e+01
-5.999999999999999778e-02 8.464505940313384880e-01 -2.336210110136554974e+01 4.536834585684913712e+00
-5.000000000000000278e-02 8.564505940313383858e-01 -2.337284542426425560e+01 8.864502200880648441e-01
-4.000000000000000083e-02 8.664505940313383947e-01 -2.338323426804880967e+01 2.326377095974579312e+00
-2.999999999999999889e-02 8.764505940313384036e-01 -2.339691591464550058e+01 2.286774713294537964e+00
-2.000000000000000042e-02 8.864505940313385235e-01 -2.340741801304848480e+01 1.433665953474683619e+00
-1.000000000000000021e-02 8.964505940313384214e-01 -2.341293907166832255e+01 6.136904400973774987e-01
0.000000000000000000e+00 9.064505940313385413e-01 -2.341468524932861328e+01 6.230414126446073841e-02
1.000000000000000021e-02 9.164505940313384391e-01 -2.341388344764709473e+01 -3.443556411250703331e-01
2.000000000000000042e-02 9.264505940313384480e-01 -2.341105103492736816e+01 -7.096206565755315276e-01
2.999999999999999889e-02 9.364505940313385679e-01 -2.340633654594421387e+01 -1.062920779877789546e+00
4.000000000000000083e-02 9.464505940313385768e-01 -2.339982342720031738e+01 -1.399657847527292942e+00
5.000000000000000278e-02 9.564505940313385857e-01 -2.339163088798522949e+01 -1.711006316224293666e+00
5.999999999999999778e-02 9.664505940313385945e-01 -2.338191008567810059e+01 -1.992686556411217724e+00
7.000000000000000666e-02 9.764505940313386034e-01 -2.337082433700561523e+01 -2.244358856187747886e+00
8.000000000000000167e-02 9.864505940313385013e-01 -2.335853052139282227e+01 -2.467643906698011591e+00
