# delta_A r_A E_eV F_stretch_eV_A
-8.000000000000000167e-02 7.403887048236731383e-01 -2.210094969965915723e+01 3.547024154154651221e+00
-7.000000000000000666e-02 7.503887048236729251e-01 -2.213474839426975294e+01 6.349891494682977644e+00
-5.999999999999999778e-02 7.603887048236730450e-01 -2.218896263339023633e+01 1.051794210882348324e+01
-5.000000000000000278e-02 7.703887048236730539e-01 -2.226263302065830274e+01 1.486130773191656118e+01
-4.000000000000000083e-02 7.803887048236730628e-01 -2.235647004343967481e+01 1.776088292207552399e+01
-2.999999999999999889e-02 7.903887048236730717e-01 -2.245413964488010450e+01 1.751997377615572660e+01
-2.000000000000000042e-02 8.003887048236731916e-01 -2.254245489336948438e+01 1.267780720117338689e+01
-1.000000000000000021e-02 8.103887048236730895e-01 -2.258885138728122755e+01 5.724626270353713409e+00
0.000000000000000000e+00 8.203887048236730983e-01 -2.260383742548923536e+01 -5.445151601587241291e-02
1.000000000000000021e-02 8.303887048236729962e-01 -2.258898108698825880e+01 -5.453274067058786478e+00
2.000000000000000042e-02 8.403887048236731161e-01 -2.254987066485385938e+01 -8.509276636264861082e+00
2.999999999999999889e-02 8.503887048236732360e-01 -2.250812452532749219e+01 -6.167988831421673090e+00
4.000000000000000083e-02 8.603887048236731339e-01 -2.248035019137363477e+01 -3.323920318793166739e+00
5.000000000000000278e-02 8.703887048236731427e-01 -2.246234863497715040e+01 -1.868928846201549199e+00
5.999999999999999778e-02 8.803887048236731516e-01 -2.244892924525241895e+01 -1.269658757297364327e+00
7.000000000000000666e-02 8.903887048236731605e-01 -2.243726127840976758e+01 -1.057843942473478460e+00
8.000000000000000167e-02 9.003887048236731694e-01 -2.242621868350009962e+01 -9.939321698070029409e-01
