# delta_A r_A E_eV F_stretch
-8.000000000000000167e-02 8.772000000000000908e-01 -8.995186592970295436e+00 5.521183307577747890e+00
-7.000000000000000666e-02 8.871999999999999886e-01 -9.018753373235870896e+00 4.052809697139389655e+00
-5.999999999999999778e-02 8.971999999999999975e-01 -9.035732145013518846e+00 2.867043790075790355e+00
-5.000000000000000278e-02 9.072000000000000064e-01 -9.047468207413972507e+00 1.938114224580283373e+00
-4.000000000000000083e-02 9.172000000000000153e-01 -9.055164854925916273e+00 1.235882333592741134e+00
-2.999999999999999889e-02 9.272000000000000242e-01 -9.059869607532490932e+00 7.273366478555416403e-01
-2.000000000000000389e-02 9.372000000000000330e-01 -9.062457427192111226e+00 3.779404363003642242e-01
-9.999999999999995004e-03 9.472000000000000419e-01 -9.063631492545734858e+00 1.528531146824003151e-01
0.000000000000000000e+00 9.572000000000000508e-01 -9.063921093235000725e+00 1.801782218128467061e-02
9.999999999999995004e-03 9.672000000000000597e-01 -9.063690126951309267e+00 -5.891294848846190257e-02
2.000000000000000389e-02 9.772000000000000686e-01 -9.063146234296620918e+00 -1.078314229490715537e-01
2.999999999999999889e-02 9.872000000000000774e-01 -9.062355532904060595e+00 -1.555981580383044571e-01
3.999999999999999389e-02 9.972000000000000863e-01 -9.061257500123186759e+00 -2.256053739171507977e-01
5.000000000000000278e-02 1.007200000000000095e+00 -9.059684545568007508e+00 -3.374479441877501484e-01
6.000000000000001166e-02 1.017200000000000104e+00 -9.057381056029390365e+00 -5.066816662092833434e-01
6.999999999999999278e-02 1.027200000000000113e+00 -9.054023257383040146e+00 -7.446674380753833811e-01
8.000000000000000167e-02 1.037200000000000122e+00 -9.049241647685025924e+00 -1.058517656020240061e+00
